No;FAMILIA;GENERO;ESPECIE;Dieta;Culmen-Expuesto;Culmen-Total;Largo-Narina;Alto-Narina;Comisura;Longitud-Tarzo;Cuerda-Alar;Largo-Rectrices;Longitud-total
10;FALCONIDAE;Micrastur ;Accipiter bicolor;C;18,3;23,7;11,6;14,6;16,6;67,9;199,1;168,5;346,1
11;FALCONIDAE ;Micrastur ;Micrastur ruficollis ;C;16,5;20,5;8,9;11,7;14,4;56,1;150,2;139,9;257,4
3;COTINGIDAE ;Pachyramphus  ;Pachyramphus polychopterus dorsalis;F;13,4;15,7;11,4;6,2;10,4;19,5;79,8;68,8;123,8
13;FRINGILLIDAE ;Euphonia  ;Euphonia fulvicrissa ;F;7,1;10,2;5,1;2,7;5,9;16;50,7;20,7;67,4
14;FRINGILLIDAE ;Euphonia  ;Euphonia xanthogaster;F;7,8;11,2;5,7;4,1;6,8;13;58,3;38,7;85,6
20;INCERTAE SEDIS:;Chlorothraupis  ;Chlorothraupis stolzmanni ;F;17,5;22;13,9;9,2;7,7;24,2;86,1;76,7;149,5
31;PSITTACIDAE ;Pyrrura;Pyrrura mellanura pacifica;F;13,5;17,4;10,8;13,4;13,1;16,5;120,7;105,9;201,2
32;RAMPHASTIDAE ;Pteroglossus;Pteroglossus sanguineus;F;114,2;114,2;92;33,5;31,1;35,2;156,5;165,2;298
33;SEMNORNITHIDAE ;Semnornis  ;Semnornis ramphastinus ;F;21,3;23,2;16,5;14,2;18,6;30,1;104;86;193,3
46;THRAUPIDAE;Schiffornis  ;Schiffornis turdina  rosembergi;F;13,2;16,4;10,3;5,6;11,9;23,7;84;66,5;138,3
49;THRAUPIDAE;Chlorothraupis  ;Chlorothraupis olivacea;F;18,9;21,7;14,4;9,4;11,4;25,4;92,4;70,3;143,1
50;THRAUPIDAE ;Dacnis  ;Dacnis venusta ;F;10,4;13,6;7,8;3,6;7,8;14;62;47,9;98,1
51;THRAUPIDAE ;Bangsia ;Bangsia rothschildi;F;15,5;18,8;11,4;9,1;12,7;23,1;86,2;56,7;124,6
54;THRAUPIDAE ;Mitrospingus;Mitrospingus cassinii ;F;20,2;21,6;14,3;4,6;10,3;28,8;85,7;70,1;148,1
55;THRAUPIDAE  ;Tangara  ;Tangara rufigula ;F;9,9;13,2;7,7;4,7;6,2;18;62,7;50,7;100,5
56;THRAUPIDAE  ;Tangara ;Tangara johanae;F;9,6;12,2;7,2;5,1;7,6;17,9;76,4;59,3;106,7
57;THRAUPIDAE  ;Tangara ;Tangara palmeri;F;13,4;15,1;7,9;6,9;9,9;20;81,1;69,8;120,6
58;TRHAUPIDAE;Crysothlypis ;Chrysothlypis salmoni ;F;12,5;14,7;9,2;4;7,2;11,9;63,1;56,8;91,1
59;TRHAUPIDAE;Anisognathus  ;Anisognathus notabilis;F;16,2;21,2;11,2;7,8;10,9;21,2;93,5;85,1;153,4
60;TRHAUPIDAE;Diglossa  ;Diglossa indigotica;F;10,1;13,9;8,1;3,7;4,9;19,8;63,4;43,7;83,2
61;TRHAUPIDAE;Bangsia;Bangsia eduwardsi;F;13,1;17,9;11,1;7,4;10,3;24,3;81,7;53,1;144,1
79;TROGONIDAE ;Trogon ;Trogon rufus;F;14,8;19,3;12,2;9,7;20,1;16,9;109,4;139,2;225
86;TYRANNIDAE ;Mionectes  ;Mionectes olivaceus ;F;13,6;15,1;9,4;3,8;7,1;18,7;64,2;56,1;104,9
88;TYRANNIDAE ;Mionectes  ;Mionectes striaticollis ;F;12,8;15,6;9,5;3,9;6,9;16,3;64;54;97
2;COLUMBIDAE ;Geotrygon;Geotrygon saphirina ;G;18,6;21;9,6;3,1;7,2;39,7;89,3;72,9;190
5;EMBERIZIDAE  ;Sporophila  ;Sporophila nigricollis ;G;6,6;9,5;5,7;4,2;6,8;14,5;52,7;38,5;89,4
6;EMBERIZIDAE  ;Buarremon  ;Arremon brunneinucha ;G;17;19,6;12,4;5,6;9,1;28,9;80,1;80,1;162,8
7;EMBERIZIDAE  ;Atlapetes  ;Atlapetes tricolor;G;14,5;17,1;10,3;7,7;8,8;26,7;76,2;81,5;135,8
8;EMBERIZIDAE  ;Saltator  ;Saltator grossus;G;17,7;22,9;14,7;9,5;13,9;22,9;97,5;85;169
9;EMBERIZIDAE  ;Sporophila  ;Sporophila corvina;G;8,7;10,4;6,6;5,3;6,7;14,1;53,8;43,3;91,2
1;CHARADRIIDAE ;Vanellus;Vanellus chilensis ;I;28,5;33,4;19,5;4,2;10,1;73,4;123,6;98,4;275,2
4;DENDROCOLAPTIDAE;Xiphorhynchus ;Xiphorhynchus lachrymosus;I;34,1;39,9;28,2;5,1;13,8;22,9;107,1;79,3;155,3
12;FORMICARIIDAE ;Formicarius  ;Formicarius rufipectus ;I;20,6;26,6;14,4;3,7;10,9;41,5;87,4;57,5;175
15;FURNARIIDAE ;Glyphorynchus  ;Glyphorynchus spirurus ;I;10;11,4;8,5;3,4;7,6;16,7;65,8;65,8;118,4
16;FURNARIIDAE ;Xiphorhynchus  ;Xiphorhynchus erythropygius ;I;33,5;36,8;27,5;4,7;12,9;22,2;105,1;93,2;180,1
17;FURNARIIDAE ;Xenops;Xenops minutus;I;11,4;13,6;10,4;2,8;6,4;16,5;62,5;45,7;89,9
18;FURNARIIDAE ;Anabacerthia  ; Anabacerthia variegaticeps;I;14,4;17,5;11,1;3,6;9,4;19,2;84,7;61,5;123
19;INCERTAE SEDIS:;Coereba  ;Coereba flaveola ;I;12,3;13,2;9,4;3,2;4,6;16,1;32,8;49,8;80,3
21;MOMOTIDAE ;Electron  ;Electron platyrhynchum ;I;36;44;32,6;9,6;18,3;17,5;123,4;196,2;301,8
22;PARULIDAE ;Basileuterus  ;Basileuterus luteoviridis ;I;8,9;12,7;7,6;2,3;6,2;21;65;54;119
23;PARULIDAE ;Basileuterus  ;Basileuterus tristriatus ;I;8,5;11,3;6,7;3,6;7;19,8;61,2;48,8;105,6
24;PARULIDAE ;Basileuterus  ;Basileuterus chrysogaster ;I;9,6;12,9;7,8;2,9;6,9;19,5;66,7;52,8;100,6
25;PICIDAE ;Celeus ;Celeus loricatus;I;20,3;24,2;15,6;4,9;11;18,2;111,9;67,7;147,8
26;PICIDAE ;Veniliornis  ; Veniliornis fumigatus;I;22,6;24,2;19,2;8,3;10,6;29,8;92,1;61,1;123,1
27;PIPRIDAE;Pipra;Lepidothrix coronata;I;6,6;9,3;5,6;3,1;6,7;14,4;55,8;30,9;66,8
28;PIPRIDAE ;Manacus  ;Manacus manacus ;I;10,4;12;6,1;3;8,4;21,7;43,1;42,3;82,5
29;PIPRIDAE ;Masius  ;Masius chrysopterus ;I;7,5;10,7;5,3;3,1;7,7;18,3;60,1;47,2;97,3
30;PIPRIDAE ;Machaeropterus ;Machaeropterus deliciosus;I;8,6;11,1;7;3,2;6,9;17,8;58,5;29,2;75,3
34;STRIGIDAE;Pulsatrix ;Pulsatrix perspicillata ;I;26,4;32,1;11,9;13,3;20,2;34,9;195;63,6;215,8
35;STRIGIDAE ;Glaucidium ;Glaucidium nubicola ;I;10,1;13,5;9,1;10,4;12,5;20,5;91,4;52,4;114,3
36;THAMNOPHILIDAE ;Myrmeciza  ;Myrmeciza exsul ;I;19,8;20,9;11,6;5,1;11,2;29,5;62,1;49,2;99,4
37;THAMNOPHILIDAE ;Myrmeciza  ;Myrmeciza immaculata ;I;20,6;23,2;13;5,8;11,1;35,5;78,3;83,4;155,2
38;THAMNOPHILIDAE ;Myrmotherula  ;Myrmotherula schisticolor ;I;12,6;15;8,9;3,5;6,4;16;54,6;34,8;68,3
39;THAMNOPHILIDAE ;Hilophylax ;Hylophylax naevioides ;I;14,4;16,5;10,8;2,8;8,1;22,4;62,9;31,9;86,3
40;THAMNOPHILIDAE ;Thamnophilus  ;Thamnophilus punctatus ;I;20,3;22,8;13,8;6;10;27,8;67,8;63,9;105,8
41;THAMNOPHILIDAE ;Dysithamnus;Dysithamnus puncticeps ;I;14,2;17,9;10,8;4,9;8,4;21,1;59,2;43,4;81,6
42;THAMNOPHILIDAE ;Myrmotherula  ;Myrmotherula axillaris ;I;13;14,8;8,7;3,5;6,8;16,6;49,9;34,8;67,8
43;THAMNOPHILIDAE ;Myrmotherula  ;Myrmotherula  fulviventris;I;12,9;15,1;9,2;3,8;6,9;18,6;49,8;34,8;70,8
44;THAMNOPHILIDAE ;Gymnopithys;Gymnopithys leucaspis bicolor;I;18,7;22,4;14,5;5,4;10;31,1;78,4;54,9;106,1
45;THRAUPIDAE;Chlorospingus  ;Chlorospingus semifuscus ;I;11,3;14,3;8,4;5,9;8,4;24;61,8;62;122,1
47;THRAUPIDAE;Chlorospingus  ;Chlorospingus flavigularis ;I;12,1;16;9,4;6,4;8,7;21,9;77,2;65,3;120
48;THRAUPIDAE;Tachyphonus  ;Tachyphonus delatrii ;I;13;16,4;9,9;6,7;8,9;18,9;75,3;9,1;117,4
52;THRAUPIDAE ;Chlorochrysa  ;Chlorochrysa phoenicotis ;I;12,2;15,6;9,4;4,5;7;21,2;71,4;49,9;105,7
53;THRAUPIDAE ;Cyanerpes;Cyanerpes caeruleus;I;18,4;21;15,3;3,2;27,3;9,4;55,7;37,2;73,5
73;TROGLODITYDAE;Microcerculus  ;Microcerculus  marginatus;I;18,7;20,5;13,8;3,6;7,8;27,9;55,3;27,9;77,4
74;TROGLODITYDAE;Thryothorus;Thryothorus leucopogon;I;16,6;20,2;13,1;3,4;6,3;22,1;56,8;41,4;87,5
75;TROGLODYTIDAE;Thryothorus;Thryothorus nigricapillus;I;7,5;20,1;12,4;4,2;8,6;24,1;65,8;54,2;97,4
76;TROGLODYTIDAE ;Henicorhina ;Henicorhina leucosticta;I;14,2;17,9;11;3,9;8,2;24,9;51,7;31,9;67,5
77;TROGLODYTIDAE ;Henicorhina  ;Henicorhina leucophrys ;I;14,9;18,5;11,5;3,7;7,1;24,6;53,3;32,7;77,2
78;TROGLODYTIDAE  ;Cinnycerthia  ;Cinnycerthia peruana ;I;15,1;18,2;11,2;4,5;8,7;20,7;63,3;69;124,8
80;TURDIDAE;Myadestes  ;Myadestes  ralloides;I;11,5;14,6;8,1;4,2;10,7;21,4;79,6;80;149,3
81;TURDIDAE ;Myadestes  ;Cichlopsis leucogenys;I;16,2;20,4;11,1;5,1;11,1;25,1;105,4;99,6;175
82;TURDIDAE ;Platycichla  ;Turdus leucops ;I;18,6;20,3;12,1;6,1;10,8;25,8;119,9;51,5;142,4
83;TURDIDAE  ;Entomodestes  ;Entomodestes coracinus ;I;14,4;18,7;10,3;5,6;11,2;29,2;102,6;102,2;209
84;TYRANIDAE;Colonia ;Colonia colonus;I;8,7;9,6;5,6;3,1;7,4;13,2;75,3;172,3;221,5
85;TYRANIDAE;Myophobus;Myophobus fasciatus fasciatus;I;11,2;14,6;9,8;4,1;7,3;17,2;60,1;59,5;101,2
87;TYRANNIDAE ;Myiotriccus  ;Myiotriccus ornatus ;I;8,8;11,2;6,2;2,9;7,2;3,1;54,2;44,4;84,6
89;TYRANNIDAE  ;Pseudotriccus  ;Pseudotriccus pelzelni ;I;9,9;13,5;7,6;3,4;6,6;20,9;58,5;51,1;100,4
90;VIREONIDAE  ;Hylophilus ;Hylophilus ochraceiceps ;I;12,3;15,7;9,3;4,5;6,8;16,7;56,4;44,1;81,8
62;TROCHILIDAE;Phaethornis ;Phaethornis syrmatophorus ;N;36,7;42;35,4;2,4;4,2;7;59;79,9;113,8
63;TROCHILIDAE ;Aglaiocercus  ;Aglaiocercus coelestis ;N;16;20,6;13,6;2;3,5;5,7;63,3;77,8;116
64;TROCHILIDAE ;Eutoxeres ;Eutoxeres aquila ;N;20;21,9;16,2;3,7;5,7;6,9;75,2;60,1;102,6
65;TROCHILIDAE ;Florisuga ;Florisuga mellivora ;N;20;25,9;17,8;2,2;4,5;5,5;56,9;47,1;74,5
66;TROCHILIDAE ;Thalurania;Thalurania furcata ;N;20,4;22,9;18,1;1,7;2,6;3,9;57,3;42,3;74,6
67;TROCHILIDAE ;Coeligena;Coeligena wilsoni ;N;34,6;48,9;29,9;2,1;4,4;5,1;70,2;50,1;88,7
68;TROCHILIDAE ;Urochroa;Urochroa bougueri ;N;29,5;34,3;27,9;2,8;4;6,9;80,1;58,6;101,7
69;TROCHILIDAE ;Ocreatu;Ocreatu underwodii;N;20;23,3;19,8;2,2;2,4;5,2;46,4;33,4;70,5
70;TROCHILLIDAE;Amazilia ;Amazilia rosenbergi ;N;20,6;24;18,7;1,8;3,3;5,5;30,4;44,4;38,1
71;TROCHILLIDAE;Schistes;Schistes geoffroyi albaqularis;N;15,9;21,4;14,6;1,9;3,7;4,6;49,4;42;62,7
72;TROCHILLIDAE;Dorifera;Doryfera ludovicae ;N;39,9;40,9;36,9;2,5;4,8;7,5;61,2;44,1;86,2
